action_const,resource_const,action_class,superclass,classification,auth_effective,auth,route,http_method,blocking,file,line_start,line_end,applies_to_resource_file,desc,allow_conditions,restrict_lines,input_whitelist,input_blacklist,output_whitelist,output_blacklist,runtime_checks,authorize_blocks,authorize_effective,parent_resource_const
VpsAdmin::API::Resources::ClusterResourcePackage::Delete,VpsAdmin::API::Resources::ClusterResourcePackage,Delete,HaveAPI::Actions::Default::Delete,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,119,137,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 124, ""line_start"": 122, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 124, ""line_start"": 122, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Index,VpsAdmin::API::Resources::ClusterResourcePackage,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,19,51,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 32, ""line_start"": 30, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 32, ""line_start"": 30, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Show,VpsAdmin::API::Resources::ClusterResourcePackage,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,53,71,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 60, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 60, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Update,VpsAdmin::API::Resources::ClusterResourcePackage,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,96,117,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 110, ""line_start"": 108, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 110, ""line_start"": 108, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Item::Create,VpsAdmin::API::Resources::ClusterResourcePackage::Item,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,203,227,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 216, ""line_start"": 214, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 216, ""line_start"": 214, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Item::Delete,VpsAdmin::API::Resources::ClusterResourcePackage::Item,Delete,HaveAPI::Actions::Default::Delete,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,255,270,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 260, ""line_start"": 258, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 260, ""line_start"": 258, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Item::Index,VpsAdmin::API::Resources::ClusterResourcePackage::Item,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,154,178,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 163, ""line_start"": 161, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 163, ""line_start"": 161, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Item::Show,VpsAdmin::API::Resources::ClusterResourcePackage::Item,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,180,201,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 189, ""line_start"": 187, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 189, ""line_start"": 187, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Item::Update,VpsAdmin::API::Resources::ClusterResourcePackage::Item,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,229,253,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 242, ""line_start"": 240, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 242, ""line_start"": 240, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
VpsAdmin::API::Resources::Component::Index,VpsAdmin::API::Resources::Component,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/component.rb,14,36,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/component.rb"", ""kind"": ""inclass"", ""line_end"": 23, ""line_start"": 21, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/component.rb"", ""kind"": ""inclass"", ""line_end"": 23, ""line_start"": 21, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::Component::Show,VpsAdmin::API::Resources::Component,Show,HaveAPI::Actions::Default::Show,public,False,False,,,False,api/lib/vpsadmin/api/resources/component.rb,38,57,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/component.rb"", ""kind"": ""inclass"", ""line_end"": 48, ""line_start"": 46, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/component.rb"", ""kind"": ""inclass"", ""line_end"": 48, ""line_start"": 46, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Create,VpsAdmin::API::Resources::Dataset,Create,HaveAPI::Actions::Default::Create,owner_or_admin,True,True,,,True,api/lib/vpsadmin/api/resources/dataset.rb,159,222,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],"[""sharenfs""]",[],"[""sharenfs""]","[{""code"": ""error!('insufficient permission to create a dataset')"", ""line"": 190}, {""code"": ""error!('access denied')"", ""line"": 193}, {""code"": ""error!('insufficient permission to create a dataset')"", ""line"": 208}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 186, ""line_start"": 180, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 186, ""line_start"": 180, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Delete,VpsAdmin::API::Resources::Dataset,Delete,HaveAPI::Actions::Default::Delete,owner_or_admin,True,True,,,True,api/lib/vpsadmin/api/resources/dataset.rb,270,301,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],[],[],[],"[{""code"": ""error!('insufficient permission to destroy this dataset')"", ""line"": 284}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 278, ""line_start"": 274, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 278, ""line_start"": 274, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::FindByName,VpsAdmin::API::Resources::Dataset,FindByName,HaveAPI::Action,authenticated,True,True,find_by_name,get,False,api/lib/vpsadmin/api/resources/dataset.rb,105,133,,,"[""u.role == :admin"", ""(allow)""]",[],[],"[""user""]",[],"[""sharenfs""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 123, ""line_start"": 118, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        input blacklist: %i[user]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 123, ""line_start"": 118, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        input blacklist: %i[user]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Index,VpsAdmin::API::Resources::Dataset,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,39,103,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],"[""user""]",[],"[""sharenfs""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 63, ""line_start"": 57, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[user]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 63, ""line_start"": 57, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[user]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Inherit,VpsAdmin::API::Resources::Dataset,Inherit,HaveAPI::Action,owner_or_admin,True,True,{%{resource}_id}/inherit,post,True,api/lib/vpsadmin/api/resources/dataset.rb,303,362,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],[],[],[],"[{""code"": ""error!('insufficient permission to inherit this property') if current_user.role != :admin && !ds.user_editable"", ""line"": 324}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 319, ""line_start"": 315, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 319, ""line_start"": 315, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Migrate,VpsAdmin::API::Resources::Dataset,Migrate,HaveAPI::Action,admin_only,True,True,{%{resource}_id}/migrate,post,True,api/lib/vpsadmin/api/resources/dataset.rb,364,454,,,"[""u.role == :admin""]",[],[],[],[],[],"[{""code"": ""error!('access denied to maintenance window VPS')"", ""line"": 417}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 398, ""line_start"": 396, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 398, ""line_start"": 396, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Dataset::Show,VpsAdmin::API::Resources::Dataset,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,135,157,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],"[""sharenfs""]",[],"[""sharenfs""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 148, ""line_start"": 142, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 148, ""line_start"": 142, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs]\n        output blacklist: %i[sharenfs]\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Update,VpsAdmin::API::Resources::Dataset,Update,HaveAPI::Actions::Default::Update,owner_or_admin,True,True,,,True,api/lib/vpsadmin/api/resources/dataset.rb,224,268,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],"[""sharenfs"", ""admin_override"", ""admin_lock_type""]",[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 241, ""line_start"": 236, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs admin_override admin_lock_type]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 241, ""line_start"": 236, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[sharenfs admin_override admin_lock_type]\n        allow\n      end""}",
VpsAdmin::API::Resources::Dataset::Plan::Create,VpsAdmin::API::Resources::Dataset::Plan,Create,HaveAPI::Actions::Default::Create,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,744,768,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],"[{""code"": ""error!('Insufficient permission') if !input[:environment_dataset_plan].user_add && current_user.role != :admin"", ""line"": 764}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 759, ""line_start"": 755, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 759, ""line_start"": 755, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}",
VpsAdmin::API::Resources::Dataset::Plan::Delete,VpsAdmin::API::Resources::Dataset::Plan,Delete,HaveAPI::Actions::Default::Delete,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,770,792,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],"[{""code"": ""error!('Insufficient permission')"", ""line"": 786}]","[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 777, ""line_start"": 773, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 777, ""line_start"": 773, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}",
VpsAdmin::API::Resources::Dataset::Plan::Index,VpsAdmin::API::Resources::Dataset::Plan,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,693,718,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 702, ""line_start"": 698, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 702, ""line_start"": 698, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}",
VpsAdmin::API::Resources::Dataset::Plan::Show,VpsAdmin::API::Resources::Dataset::Plan,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,720,742,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 732, ""line_start"": 728, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 732, ""line_start"": 728, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}",
VpsAdmin::API::Resources::Dataset::PropertyHistory::Index,VpsAdmin::API::Resources::Dataset::PropertyHistory,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/dataset.rb,807,846,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 824, ""line_start"": 820, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/dataset.rb"", ""kind"": ""inclass"", ""line_end"": 824, ""line_start"": 820, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict user: u\n          allow\n        end""}",
